State,Population,Violent_crime,Murder_manslaughter,Rape_revdef,Rape_legdef,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Car_theft
North Carolina,"10,042,802","34,852",517,"2,684","1,939","8,825","22,826","276,183","74,841","187,907","13,435"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
North Dakota,"756,927","1,812",21,345,276,148,"1,298","16,020","2,997","11,440","1,583"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ohio,"11,613,423","33,898",500,"5,149","4,154","12,554","15,695","300,525","69,303","213,993","17,229"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Oklahoma,"3,911,338","16,506",234,"1,849","1,352","3,005","11,418","112,878","28,406","74,022","10,450"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Oregon,"4,028,977","10,468",99,"1,593","1,164","2,146","6,630","118,719","18,336","89,836","10,547"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pennsylvania,"12,802,503","40,339",658,"4,305","3,122","13,003","22,373","232,085","39,664","180,287","12,134"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PUERTO RICO,"3,474,182","7,629",584,165,123,"4,070","2,810","37,717","9,150","24,493","4,074"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rhode Island,"1,056,298","2,562",29,459,338,556,"1,518","20,043","3,947","14,707","1,389"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
South Carolina,"4,896,146","24,700",399,"2,297","1,707","3,931","18,073","161,245","34,551","113,724","12,970"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
